序號,答案
20240117090001,82.42
20240117091001,116.43
20240117092001,167.14
20240117093001,103.36
20240117094001,87.51
20240117095001,55.57
20240117100001,112.38
20240117101001,130.99
20240117102001,181.1
20240117103001,194.17
20240117104001,161.35
20240117105001,178.8
20240117110001,121.84
20240117111001,182.99
20240117112001,143.8
20240117113001,120.01
20240117114001,55.4
20240117115001,54.9
20240117120001,80.01
20240117121001,119.25
20240117122001,135.41
20240117123001,215.38
20240117124001,783.97
20240117125001,671.61
20240117130001,340.17
20240117131001,274.4
20240117132001,456.45
20240117133001,968.66
20240117134001,1321.43
20240117135001,1219.83
20240117140001,847.48
20240117141001,1426.39
20240117142001,757.79
20240117143001,406.77
20240117144001,1059.23
20240117145001,1391.3
20240117150001,1122.37
20240117151001,331.6
20240117152001,121.05
20240117153001,78.11
20240117154001,46.65
20240117155001,123.78
20240117160001,101.71
20240117161001,11.5
20240117162001,12.13
20240117163001,25.01
20240117164001,0.0
20240117165001,0.0
20240119090001,240.38
20240119091001,223.48
20240119092001,261.11
20240119093001,279.64
20240119094001,331.49
20240119095001,414.43
20240119100001,471.18
20240119101001,444.03
20240119102001,512.85
20240119103001,1275.71
20240119104001,1346.56
20240119105001,1211.96
20240119110001,1134.89
20240119111001,1630.04
20240119112001,1331.32
20240119113001,1480.16
20240119114001,1269.76
20240119115001,1583.13
20240119120001,1463.26
20240119121001,812.68
20240119122001,928.26
20240119123001,905.55
20240119124001,785.89
20240119125001,1463.86
20240119130001,1304.36
20240119131001,766.46
20240119132001,1294.27
20240119133001,737.16
20240119134001,584.37
20240119135001,579.68
20240119140001,1210.13
20240119141001,658.17
20240119142001,1163.16
20240119143001,444.19
20240119144001,1109.54
20240119145001,337.87
20240119150001,145.06
20240119151001,101.22
20240119152001,84.12
20240119153001,60.84
20240119154001,67.01
20240119155001,59.87
20240119160001,56.03
20240119161001,47.2
20240119162001,18.88
20240119163001,12.77
20240119164001,11.09
20240119165001,5.52
20240224090001,61.16
20240224091001,68.48
20240224092001,62.2
20240224093001,49.04
20240224094001,21.97
20240224095001,58.81
20240224100001,56.01
20240224101001,82.88
20240224102001,60.32
20240224103001,72.84
20240224104001,53.55
20240224105001,46.72
20240224110001,54.73
20240224111001,60.92
20240224112001,67.87
20240224113001,74.73
20240224114001,71.02
20240224115001,60.77
20240224120001,46.75
20240224121001,51.73
20240224122001,35.44
20240224123001,38.72
20240224124001,38.41
20240224125001,44.19
20240224130001,38.64
20240224131001,26.74
20240224132001,29.27
20240224133001,33.17
20240224134001,41.97
20240224135001,38.38
20240224140001,28.91
20240224141001,28.87
20240224142001,12.62
20240224143001,6.9
20240224144001,7.81
20240224145001,7.47
20240224150001,9.48
20240224151001,8.57
20240224152001,6.3
20240224153001,4.85
20240224154001,3.88
20240224155001,3.73
20240224160001,2.83
20240224161001,0.82
20240224162001,0.13
20240224163001,1.62
20240224164001,0.0
20240224165001,0.83
20240226090001,36.9
20240226091001,53.31
20240226092001,61.4
20240226093001,62.44
20240226094001,56.87
20240226095001,77.26
20240226100001,50.72
20240226101001,60.67
20240226102001,76.44
20240226103001,79.98
20240226104001,90.81
20240226105001,123.91
20240226110001,105.44
20240226111001,111.61
20240226112001,110.13
20240226113001,55.64
20240226114001,45.85
20240226115001,54.9
20240226120001,36.76
20240226121001,23.17
20240226122001,20.53
20240226123001,34.25
20240226124001,41.57
20240226125001,36.83
20240226130001,42.7
20240226131001,63.65
20240226132001,64.53
20240226133001,60.96
20240226134001,61.78
20240226135001,43.2
20240226140001,25.84
20240226141001,18.91
20240226142001,20.74
20240226143001,22.01
20240226144001,17.91
20240226145001,14.82
20240226150001,14.2
20240226151001,14.82
20240226152001,13.62
20240226153001,10.93
20240226154001,11.0
20240226155001,9.64
20240226160001,4.2
20240226161001,2.5
20240226162001,2.31
20240226163001,1.85
20240226164001,1.49
20240226165001,1.71
20240327090001,109.08
20240327091001,112.03
20240327092001,123.25
20240327093001,169.43
20240327094001,270.38
20240327095001,391.8
20240327100001,521.1
20240327101001,632.5
20240327102001,743.11
20240327103001,663.87
20240327104001,974.31
20240327105001,965.2
20240327110001,759.78
20240327111001,714.62
20240327112001,557.55
20240327113001,453.68
20240327114001,314.15
20240327115001,266.97
20240327120001,261.71
20240327121001,213.53
20240327122001,219.41
20240327123001,207.65
20240327124001,197.02
20240327125001,171.16
20240327130001,192.5
20240327131001,121.99
20240327132001,85.67
20240327133001,67.43
20240327134001,52.71
20240327135001,40.28
20240327140001,5.97
20240327141001,10.66
20240327142001,9.94
20240327143001,22.11
20240327144001,15.39
20240327145001,21.93
20240327150001,13.41
20240327151001,10.36
20240327152001,10.25
20240327153001,10.65
20240327154001,9.64
20240327155001,8.88
20240327160001,9.75
20240327161001,6.66
20240327162001,8.76
20240327163001,7.3
20240327164001,4.68
20240327165001,2.99
20240329090001,22.48
20240329091001,20.19
20240329092001,17.92
20240329093001,11.87
20240329094001,14.27
20240329095001,9.5
20240329100001,5.36
20240329101001,6.54
20240329102001,4.29
20240329103001,8.56
20240329104001,6.5
20240329105001,9.58
20240329110001,6.06
20240329111001,3.53
20240329112001,4.4
20240329113001,6.93
20240329114001,6.07
20240329115001,15.87
20240329120001,27.19
20240329121001,33.79
20240329122001,32.57
20240329123001,13.37
20240329124001,10.44
20240329125001,13.35
20240329130001,16.15
20240329131001,13.29
20240329132001,10.14
20240329133001,7.09
20240329134001,18.81
20240329135001,14.88
20240329140001,15.17
20240329141001,16.46
20240329142001,21.29
20240329143001,29.91
20240329144001,25.82
20240329145001,17.3
20240329150001,24.28
20240329151001,20.78
20240329152001,11.77
20240329153001,10.09
20240329154001,7.18
20240329155001,5.49
20240329160001,1.17
20240329161001,0.72
20240329162001,0.32
20240329163001,0.0
20240329164001,0.0
20240329165001,0.0
20240428090001,254.43
20240428091001,510.3
20240428092001,176.23
20240428093001,43.43
20240428094001,24.1
20240428095001,25.64
20240428100001,30.71
20240428101001,119.12
20240428102001,460.25
20240428103001,549.96
20240428104001,1064.45
20240428105001,600.23
20240428110001,791.53
20240428111001,1054.63
20240428112001,970.1
20240428113001,401.88
20240428114001,307.95
20240428115001,299.53
20240428120001,362.36
20240428121001,358.27
20240428122001,236.3
20240428123001,273.01
20240428124001,260.38
20240428125001,122.12
20240428130001,79.3
20240428131001,66.0
20240428132001,65.17
20240428133001,49.47
20240428134001,38.57
20240428135001,41.91
20240428140001,36.2
20240428141001,35.05
20240428142001,39.7
20240428143001,100.3
20240428144001,153.38
20240428145001,142.23
20240428150001,196.1
20240428151001,341.66
20240428152001,198.84
20240428153001,115.19
20240428154001,101.45
20240428155001,120.88
20240428160001,137.99
20240428161001,71.89
20240428162001,36.83
20240428163001,30.5
20240428164001,24.75
20240428165001,33.11
20240430090001,885.46
20240430091001,973.96
20240430092001,1054.82
20240430093001,1116.67
20240430094001,1141.89
20240430095001,1148.9
20240430100001,1107.43
20240430101001,806.5
20240430102001,1113.88
20240430103001,1419.15
20240430104001,1411.45
20240430105001,1267.03
20240430110001,1405.35
20240430111001,1412.06
20240430112001,1541.35
20240430113001,1578.84
20240430114001,1585.2
20240430115001,1305.96
20240430120001,932.18
20240430121001,1130.08
20240430122001,1072.89
20240430123001,1483.64
20240430124001,1246.18
20240430125001,1064.81
20240430130001,1003.84
20240430131001,703.55
20240430132001,927.6
20240430133001,1050.31
20240430134001,998.95
20240430135001,933.15
20240430140001,731.54
20240430141001,563.69
20240430142001,361.63
20240430143001,226.48
20240430144001,210.54
20240430145001,244.57
20240430150001,131.49
20240430151001,46.72
20240430152001,75.98
20240430153001,48.77
20240430154001,29.95
20240430155001,15.88
20240430160001,9.31
20240430161001,4.4
20240430162001,8.91
20240430163001,6.92
20240430164001,7.99
20240430165001,7.67
20240515090001,791.19
20240515091001,916.37
20240515092001,999.08
20240515093001,1102.35
20240515094001,1168.97
20240515095001,1085.99
20240515100001,1026.35
20240515101001,1086.3
20240515102001,983.0
20240515103001,915.64
20240515104001,1031.82
20240515105001,1379.4
20240515110001,1570.48
20240515111001,1326.22
20240515112001,1606.05
20240515113001,1495.59
20240515114001,1491.36
20240515115001,1384.5
20240515120001,1486.81
20240515121001,1681.46
20240515122001,1672.65
20240515123001,1695.35
20240515124001,1209.07
20240515125001,1558.09
20240515130001,1450.43
20240515131001,1529.61
20240515132001,1317.29
20240515133001,960.74
20240515134001,557.56
20240515135001,772.98
20240515140001,408.99
20240515141001,231.94
20240515142001,176.4
20240515143001,167.95
20240515144001,136.06
20240515145001,109.28
20240515150001,109.0
20240515151001,70.69
20240515152001,56.2
20240515153001,45.09
20240515154001,26.06
20240515155001,33.21
20240515160001,30.92
20240515161001,24.96
20240515162001,16.01
20240515163001,11.5
20240515164001,15.09
20240515165001,5.58
20240520090001,476.62
20240520091001,448.32
20240520092001,403.43
20240520093001,351.86
20240520094001,231.04
20240520095001,186.85
20240520100001,186.44
20240520101001,225.33
20240520102001,221.27
20240520103001,249.56
20240520104001,317.33
20240520105001,317.06
20240520110001,287.16
20240520111001,279.81
20240520112001,255.49
20240520113001,235.61
20240520114001,218.16
20240520115001,256.33
20240520120001,356.95
20240520121001,290.15
20240520122001,227.64
20240520123001,144.44
20240520124001,191.86
20240520125001,196.16
20240520130001,191.58
20240520131001,119.65
20240520132001,67.86
20240520133001,35.52
20240520134001,42.46
20240520135001,58.74
20240520140001,71.28
20240520141001,71.2
20240520142001,62.48
20240520143001,84.8
20240520144001,124.02
20240520145001,127.29
20240520150001,137.94
20240520151001,118.91
20240520152001,84.62
20240520153001,51.48
20240520154001,34.53
20240520155001,32.32
20240520160001,35.21
20240520161001,32.93
20240520162001,29.62
20240520163001,26.92
20240520164001,21.19
20240520165001,19.28
20240613090001,34.18
20240613091001,53.13
20240613092001,94.08
20240613093001,149.33
20240613094001,169.52
20240613095001,166.16
20240613100001,251.3
20240613101001,349.09
20240613102001,675.62
20240613103001,636.15
20240613104001,383.93
20240613105001,340.6
20240613110001,657.05
20240613111001,571.83
20240613112001,729.49
20240613113001,1231.7
20240613114001,1311.23
20240613115001,1298.14
20240613120001,1379.93
20240613121001,1371.37
20240613122001,1109.63
20240613123001,1363.76
20240613124001,720.74
20240613125001,491.9
20240613130001,1211.65
20240613131001,1129.2
20240613132001,1092.65
20240613133001,140.97
20240613134001,1003.08
20240613135001,1159.11
20240613140001,618.1
20240613141001,417.08
20240613142001,740.99
20240613143001,103.65
20240613144001,67.88
20240613145001,56.42
20240613150001,52.39
20240613151001,58.03
20240613152001,57.96
20240613153001,62.65
20240613154001,89.39
20240613155001,233.93
20240613160001,191.9
20240613161001,61.2
20240613162001,35.8
20240613163001,34.39
20240613164001,45.23
20240613165001,12.05
20240615090001,680.65
20240615091001,732.46
20240615092001,782.39
20240615093001,873.45
20240615094001,875.42
20240615095001,1063.63
20240615100001,1083.5
20240615101001,1277.5
20240615102001,1113.35
20240615103001,1216.59
20240615104001,953.45
20240615105001,1069.74
20240615110001,1118.13
20240615111001,1029.09
20240615112001,1104.76
20240615113001,1184.58
20240615114001,1198.12
20240615115001,1245.2
20240615120001,1247.54
20240615121001,1177.61
20240615122001,1121.6
20240615123001,1067.65
20240615124001,1029.56
20240615125001,1093.59
20240615130001,1028.13
20240615131001,924.02
20240615132001,738.75
20240615133001,695.19
20240615134001,779.28
20240615135001,732.22
20240615140001,437.78
20240615141001,785.39
20240615142001,643.0
20240615143001,595.62
20240615144001,588.39
20240615145001,525.68
20240615150001,489.48
20240615151001,395.79
20240615152001,378.52
20240615153001,320.16
20240615154001,284.04
20240615155001,219.82
20240615160001,160.98
20240615161001,131.29
20240615162001,98.37
20240615163001,37.99
20240615164001,61.66
20240615165001,27.67
20240703090001,305.07
20240703091001,801.62
20240703092001,866.94
20240703093001,980.26
20240703094001,1015.99
20240703095001,621.65
20240703100001,239.44
20240703101001,291.51
20240703102001,468.54
20240703103001,781.14
20240703104001,1208.41
20240703105001,1219.31
20240703110001,1214.95
20240703111001,1256.55
20240703112001,1089.31
20240703113001,1255.53
20240703114001,1305.29
20240703115001,1284.56
20240703120001,1227.46
20240703121001,1247.14
20240703122001,1227.6
20240703123001,1216.21
20240703124001,1200.31
20240703125001,1206.84
20240703130001,1200.14
20240703131001,1135.43
20240703132001,1089.44
20240703133001,1011.89
20240703134001,933.67
20240703135001,867.87
20240703140001,773.75
20240703141001,706.57
20240703142001,661.1
20240703143001,593.53
20240703144001,549.37
20240703145001,486.88
20240703150001,443.26
20240703151001,378.2
20240703152001,319.62
20240703153001,278.67
20240703154001,233.66
20240703155001,0.98
20240703160001,68.09
20240703161001,12.1
20240703162001,33.4
20240703163001,0.0
20240703164001,10.82
20240703165001,1.56
20240707090001,761.57
20240707091001,823.58
20240707092001,864.27
20240707093001,922.65
20240707094001,985.22
20240707095001,1037.73
20240707100001,1062.34
20240707101001,1116.39
20240707102001,1153.12
20240707103001,1110.26
20240707104001,1214.82
20240707105001,1165.88
20240707110001,692.59
20240707111001,1017.69
20240707112001,1147.58
20240707113001,1194.99
20240707114001,1193.43
20240707115001,1190.26
20240707120001,1167.04
20240707121001,1146.92
20240707122001,1145.78
